BS, S:37858
-13.1,6.07
-10.73,5.83
-11.09,6.65
-12.66,7.07
-14.65,7.08
-15.35,6.77
-14.75,6.46
-14.47,6.26
-12.92,6.22
-13.04,6.15
-11.92,6.29
-11.46,5.98
-9.69,5.8
-8.22,6.08
-9.88,6.36
-10.41,6.56
-11.4,6.68
-10.62,5.86
-10.18,6.1
-10.18,6.15
-8.07,5.85
-6.89,6.04
-6.65,6.62
-6.29,6.53
-7.23,6.52
-7.18,6.15
-7,6.13
-6.13,5.96
-5.05,5.94
-5.09,5.87
-3.74,5.89
-3.29,5.9
-2.49,5.89
-2.13,5.8
-1.63,5.84
-1.04,5.86
-0.37,5.69
0.43,5.59
0.95,5.57
1.1,5.57
1.5,5.41
2,5.22
BE,
BS, S:37921
2.18,5.22
8.16,5.33
29.86,6.56
52.26,9.68
69.84,18.89
89.6,23.15
37.45,25.19
42.23,26.81
27.55,26.82
27.05,27.06
21.2,26.46
17.61,25.23
18.77,24.62
28.25,24.75
42.06,26.24
52.06,29.06
48.93,35.76
29.62,31.72
16.41,30.51
15.89,29.04
20.13,27.26
21.1,27.07
26.61,27.16
31.31,28.1
33.42,29.29
30.73,31.06
22.58,29.48
16.68,28.6
21.16,28.32
23.81,27.97
23.84,28.2
22.83,28.51
18.74,28.94
16.62,29.98
16.53,29.97
7.89,29.13
4.52,28.77
4.14,28.63
3.48,28.59
1.33,28.59
-0.45,28.51
-1.66,28.33
-2.46,28.15
-2.29,28.12
-2.23,28.03
-2.32,28.03
-2.2,28.03
-2.24,27.95
-1.61,27.86
-0.72,27.79
0.55,27.74
-61.57,27.68
-90.37,24.25
-71.99,15.83
-28.52,8.25
0.48,6.57
-1.49,8.65
-13.37,10.71
-27.05,10.3
-31.51,8.51
-24.65,7.31
-16.28,6.68
-15.16,6.89
-15.62,7.28
-19.3,7.42
-19.4,7.17
-18.58,6.83
-17.54,6.71
-16,6.57
-16.31,6.5
-15.09,6.45
-13.94,6.42
-14.36,6.35
-12.41,6.32
-13.29,6.41
-13.14,6.47
-13.08,6.44
-12.93,6.39
-12.26,6.29
-12.42,6.14
-11.8,6.18
-12.07,6.27
-11.13,6.26
-10.63,6.24
-10.59,6.24
-10.24,6.17
-9.83,5.98
-8.19,5.77
-7.13,6.12
-8.19,6.49
-8.69,6.38
-9.83,6.19
-8.63,5.87
-6.78,5.65
-4.88,5.76
-4.27,5.98
-5.2,6.46
-7,6.64
-8.23,6.44
-8.71,6.37
-8.6,6.2
-8.46,6.04
-8.25,5.94
-7.07,5.98
-6.41,5.97
-5.79,6.02
-5.97,6.22
-6.27,6.25
-6.49,6.22
-6.52,6.17
-6.06,6.13
-6.2,6.06
-5.91,6.05
-5.76,6.07
-5.41,5.95
-4.68,6
-4.57,5.99
-3.93,5.83
-3.1,5.96
-3.18,6.22
-3.4,6.15
-3.52,6.24
-4.32,6.27
-4.21,6.01
-3.52,5.98
-3.61,6.23
-3.9,6.11
-3.72,6
-3.89,6.08
-3.84,6.08
-3.64,6.07
-3.77,6.16
-3.74,6.07
-3.59,5.92
-3.61,6.07
-3.48,6
-2.98,5.83
-2.1,5.79
-1.04,5.69
0.1,5.59
0.75,5.5
1.08,5.48
1.55,5.39
2,5.3
BE,
BS, S:37922
2.12,5.3
7.65,5.41
28.43,6.65
50.52,9.65
70.32,19
91.25,23.13
45.15,24.97
47.81,26.95
28.26,27.9
22.98,27.63
20.07,26.77
16.66,25.39
17.87,24.8
25.95,24.7
40.92,26.17
53.62,29.16
54.05,35.55
26.68,32.16
15.89,30.74
17.91,29.44
18.69,28.11
18.18,26.95
20.9,26.88
29.14,27.15
37.71,28.81
43.07,30.03
30.01,29.47
18.94,29.5
19.32,29.16
24.11,28.49
25.88,28.15
25.87,28.61
25.91,31.15
27.8,29.68
17.73,29.03
16.32,28.75
14.83,28.49
14.27,28.44
13.13,28.42
12.03,28.4
10.85,28.41
9.14,28.25
8.12,28.32
7.36,28.32
6.37,28.4
4.94,28.48
3.28,28.48
1.8,28.33
0.66,28.24
-0.33,28.14
-0.19,28.12
-65.11,28.1
-94.8,24.7
-72.36,16.13
-31.68,8.38
-7.27,7.29
-7.84,8.7
-15.55,9.77
-26.39,9.95
-30.65,8.7
-26.23,7.53
-20.36,6.93
-18.13,7.01
-17.8,7.14
-18.08,7.1
-17.98,7.44
-20.26,7.38
-19.82,6.71
-18.55,6.64
-17.09,6.77
-16.67,6.61
-16.29,6.42
-14.59,6.04
-13.41,6.26
-13.43,6.5
-13.37,6.48
-13.74,6.35
-13.33,6.24
-12.7,6.14
-11.51,6.02
-10.19,5.98
-8.84,5.97
-8.83,5.97
-9.24,6.14
-9.48,6.3
-9.75,6.47
-10.56,6.49
-10.7,6.4
-11.4,6.35
-11.04,6.26
-10.79,6.08
-9.61,5.97
-8.44,5.93
-8.14,6.01
-7.82,6.09
-7.85,6.09
-7.45,6.07
-6.94,6.07
-6.58,6.07
-6.5,6.14
-6.91,6.07
-5.56,5.87
-4.32,5.84
-3.82,5.91
-3.31,5.77
-3.81,6.37
-5.52,6.66
-7.07,6.53
-7.69,6.28
-7.33,6.01
-6.42,5.9
-6.13,6.07
-5.86,6.13
-6.2,6.13
-5.98,6.13
-6.07,6.06
-5.91,6.04
-5.54,6.03
-5.3,6.03
-4.68,6.02
-4.77,6.01
-4.39,5.92
-3.71,5.91
-3.17,5.89
-2.43,5.88
-1.92,5.79
-1.27,5.71
0.16,5.52
1.24,5.25
1.88,5.21
BE,
BS, S:37923
2.07,5.22
7.52,5.34
29.17,6.62
51.16,9.72
69.13,19.21
89.28,23.11
38.47,24.82
40.12,26.46
29.1,26.84
26.35,27.14
22.32,26.42
18.26,25.04
20.15,24.48
31.64,24.83
45.32,26.56
53.69,30.62
52.73,34.81
20.79,31.16
10.15,30.02
18.8,29.15
19.75,27.24
21.04,27.22
27.6,27.12
35.92,29.64
45.31,29.97
30.17,29.9
25.78,29.8
20,29.23
23.21,28.37
26.29,28.03
27.71,28.22
27.2,28.74
29.3,32.32
32.28,30.99
20.63,29.07
19.98,28.7
19.39,28.57
19.48,28.59
15.76,28.94
9.22,29.03
5.35,29.13
0.63,29.04
-1.32,28.92
-3.37,28.74
-4.51,28.53
-4.47,28.33
-4.24,28.21
-3.61,28.14
-3.02,28.02
-2.8,27.79
-2.21,27.69
-65.36,27.66
-94.58,24.34
-73.43,16.04
-22.65,8.23
-1.85,7.66
-9.5,9.48
-17.98,10.29
-31.43,9.94
-29.19,8.27
-23.7,7.22
-18.27,7.06
-16.88,7.1
-16.47,7.66
-19.65,7.86
-20.72,7.31
-21.31,6.93
-18.11,6.8
-17.09,6.68
-16.22,6.59
-15.84,6.55
-16.41,6.5
-15.14,6.3
-14.2,6.19
-12.68,6.28
-12.96,6.54
-14.18,6.59
-13.72,6.5
-13.73,6.36
-12.55,6.13
-10.35,5.97
-10.78,5.93
-9.83,5.9
-9.59,6.26
-9.77,6.2
-9.18,6.22
-10.26,6.53
-10.74,6.41
-10.89,6.32
-10.03,6.07
-9.48,5.97
-9.54,6.05
-8.54,6.04
-7.75,5.76
-6.62,5.67
-4.05,5.57
-3.97,6.66
-6.98,7.29
-10.91,7.28
-12.52,6.53
-12.29,6.16
-11.09,5.95
-8.97,5.93
-8.01,5.78
-7.2,5.98
-4.65,6.15
-5.03,6.35
-6.2,6.38
-7.27,6.24
-7.41,6.16
-7.42,6.22
-7.13,5.9
-5.11,5.47
-2,5.31
0.28,5.65
-1.31,6.31
-4.57,7.18
-10.22,7.56
-11.26,6.54
-9.42,5.31
-6.71,5.88
-7.23,6.68
-6.76,6.42
-5.95,6.5
-6.38,6.73
-6.33,6.2
-4.63,5.6
-3.31,6.26
-3.72,6.94
-5.18,6.21
-4.86,5.78
-3.67,6.86
-6.21,6.38
-6.71,5.79
-3.81,5.21
-0.7,5.49
0.55,5.61
-2.9,7.13
-6.8,7.19
-8.33,6.29
-9.28,5.59
-6.06,5.35
-1.83,5.05
0.41,6.01
-2.11,6.63
-3.23,6.08
-2.92,5.84
-2.12,5.79
-1.42,5.78
-1.68,6.35
-2.74,6.33
-3.2,6.09
-2.38,5.8
-5.92,7.65
-8.62,6.74
-8.78,6.14
-6.23,5.57
-3.21,5.47
-0.3,5.28
1.04,5.33
1.17,5.57
1.16,5.72
1.18,5.66
1.47,5.56
1.87,5.32
BE,
BS, S:37924
2.18,5.24
8.04,5.31
31.97,6.45
54.25,9.73
77.1,19.88
88.72,24.03
31.39,25.78
22.52,28.21
10.93,26.74
14.34,26.38
11.64,26.14
10.9,23.78
18.01,23.45
40.36,24.37
63.15,27.22
67.41,36.93
43.38,35.14
6.19,36.14
14.37,30.56
12.37,28.72
11.31,26.49
17.17,25.62
33.83,25.87
52.02,28.34
52.54,32.5
36.76,32.08
12.34,30.74
17.04,30
15.96,28.55
18.36,27.35
20.32,27.04
28.14,26.74
38.99,28.22
40.31,30.42
39.26,32.76
20.31,30.24
17.89,29.71
16.99,29.16
18.99,28.86
17.31,28.66
15.23,28.65
12.96,28.49
11.27,28.38
10.53,28.28
9.39,28.35
7.64,28.3
6.87,28.27
5.53,28.36
4.45,28.29
3.42,28.28
2.01,28.14
-63.92,28.1
-93.89,24.61
-67.98,15.51
-17.03,7.57
1.49,5.95
2.67,7.86
-1.98,8.29
-9.5,9.6
-19.05,9.5
-20.71,7.07
-19.74,7.41
-19.28,7.4
-18.9,7.2
-17.9,7.63
-19.37,7.71
-18.64,7.11
-18.66,6.95
-18.94,7.04
-16.63,6.97
-12.43,5.87
-12.37,6.41
-13.38,6.91
-14.75,7.02
-16.49,7.19
-18.21,6.8
-17.66,6.38
-15.92,6.23
-13.86,6
-11.74,6.02
-11.15,6.01
-10.23,6.07
-10.7,6.08
-9.73,6.12
-9.7,6.14
-9.12,6.16
-8.75,6.2
-9.92,6.22
-9.59,6.22
-9.54,6.17
-9.02,6.12
-8.47,5.95
-8.22,5.93
-7.09,5.97
-6.42,6.14
-6.63,6.24
-6.78,6.33
-8.04,6.27
-8.07,6.18
-7.9,6.09
-7.37,5.92
-6.25,5.96
-5.63,5.87
-4.56,5.93
-4.32,5.86
-4.19,5.92
-3.21,5.97
-3.21,6.07
-3.46,6.17
-3.47,6.08
-3.36,5.99
-2.81,5.8
-1.61,5.63
-0.17,5.5
0.87,5.42
1.43,5.39
1.82,5.3
BE,
BS, S:37925
1.96,5.25
7.76,5.38
28.72,6.63
50.2,9.71
69.94,19.17
90.26,23.35
37.66,25.72
38.17,27.59
20.95,28.07
14.84,26.96
16.97,25.56
15.72,24.56
24.93,23.82
39.59,25.53
55.47,27.58
47.95,34.19
41.62,33.96
3.62,30.58
13.23,29.52
15.36,27.48
14.71,26.53
22.73,26.18
38.53,29.69
53.85,29.15
35.56,31.14
21.81,30.42
16.45,29.92
19.28,28.88
21.98,28.06
22.69,27.74
24.33,27.99
28.19,29.12
34.22,30.25
34.31,29.11
27.66,29.58
23.57,28.95
23.43,28.69
24.38,28.61
23.43,28.66
22.21,28.66
19.86,28.66
16.86,28.82
13.38,28.93
10.26,29.2
7.26,29.51
7.36,30.67
1.44,29.23
-0.55,28.35
1.41,28.33
1.28,28.31
0.41,28.39
-72.26,28.34
-96.21,24.73
-69.4,15.62
-13.98,7.52
1.6,7.4
-6.85,9.58
-16.63,10.52
-29.33,9.91
-29.37,8.37
-23.81,7.17
-19.65,6.94
-17.53,7.45
-17.58,7.57
-20.01,7.62
-20.44,7.36
-18.29,6.71
-18.63,6.83
-18.21,6.8
-16.32,6.5
-14.64,6.95
-15.03,6.88
-16.3,6.86
-17.99,6.86
-17.93,6.68
-17.29,6.44
-15.96,6.32
-14.94,6.3
-15.61,6.3
-14.48,6.27
-13.21,6.15
-13.08,6.14
-11.86,6.19
-12.49,6.28
-12.13,6.28
-11.55,6.18
-11.48,6.26
-11.1,6.11
-12.18,6.29
-11.29,6.23
-10.83,6.24
-11.18,6.17
-10.65,6.09
-10.91,6.08
-9.61,6.05
-8.91,6.03
-8.56,6.02
-8.19,6.1
-9.06,6.2
-8.71,6.28
-8.47,6.19
-8.5,6.19
-8.07,6.02
-8.31,6.02
-7.76,6
-7.23,6.06
-7.03,6.07
-6.17,5.96
-6.38,5.98
-5.6,6.04
-5.46,6.11
-5.52,6.04
-5.41,6.14
-6.09,6.21
-5.97,6.21
-5.75,6.12
-5.64,6.03
-4.96,5.94
-4.73,5.93
-3.88,5.85
-3.03,5.81
-2.24,5.8
-1.66,5.78
-0.96,5.77
-0.16,5.75
0.47,5.69
1.07,5.5
1.52,5.47
1.68,5.54
1.7,5.56
1.9,5.49
BE,
BS, S:37926
2.04,5.42
7.03,5.53
27.5,6.78
48.93,9.83
66.22,18.55
88.39,22.58
42.63,24.89
41.57,26.87
29.19,27.5
23.2,27.29
19.87,26.76
16.31,24.9
18.67,24.48
28.89,24.9
43.28,26.43
53.39,29.07
48.35,36.78
29.14,32.21
8.02,31.23
21.97,28.52
20.51,29.63
19.6,28.11
21.47,27.5
26.91,27.1
34.39,27.64
36.08,28.57
28.14,29.31
21.97,28.9
25.72,28.55
26.61,28.81
31.61,34.98
23.62,38.65
-92.38,34.2
-78.62,22.73
-43.91,11.91
-1.47,6.81
0.5,7.73
-7.57,10.15
-22.19,10.91
-33.13,9.78
-30.19,7.84
-25.13,7.3
-20.1,7.16
-18.28,6.74
-17.86,7.12
-17.4,7.6
-19.96,7.8
-19.52,7.07
-18.3,7.02
-17.72,6.74
-17.5,7.01
-17.87,6.88
-18.27,6.73
-17.77,6.46
-16.56,6.34
-14.72,6.2
-14.45,6.1
-12.65,6.05
-11.01,5.92
-9.85,5.97
-9.6,6.16
-10.37,6.4
-10.91,6.5
-11.22,6.43
-11.64,6.27
-10.96,6.19
-11.58,6.19
-10.82,6.09
-10.37,6.15
-10.11,6.16
-9.63,6.22
-10.29,6.24
-10.52,6.32
-10.06,6.32
-10.34,6.19
-9.79,6.07
-9.6,5.9
-7.6,5.68
-7,6.2
-7.81,6.35
-8,6.19
-8.93,6.16
-8.54,6.11
-8.02,6.01
-7.5,5.99
-6.35,6.04
-6.54,6.06
-6.21,6.13
-6,6.16
-6.1,6.05
-5.46,6.03
-6.16,6.12
-5.67,6.12
-5.24,6.04
-5.33,5.95
-4.45,5.85
-3.56,5.82
-2.61,5.81
-2.1,5.96
-2.56,6.23
-3.58,6.35
-4.51,6.33
-4.96,6.25
-5.07,6.11
-4.95,6.02
-4.53,5.86
-3.89,5.91
-3.46,5.98
-3.14,5.99
-3.16,5.93
-3.29,6
-3.2,6.07
-3.29,5.99
-2.65,5.89
-2.37,5.98
-2.15,6.07
-1.99,5.97
-1.41,5.86
-0.24,5.69
0.47,5.51
1.14,5.32
1.91,5.15
BE,
BS, S:37927
2.21,5.15
8.25,5.27
30.25,6.53
52.7,9.56
72.09,18.7
91.66,23.07
42.85,25.19
41.04,27.18
26.95,27.45
23.21,27.44
20.62,26.5
17.93,25.02
19.54,24.52
29.69,24.93
43.58,26.36
51.38,29.05
47.73,36.31
32.92,32.03
10.57,31.4
18.76,28.72
20.24,29.84
22.08,28.5
27.52,27.39
29.96,27.9
32.88,28.12
29.73,28.46
26.17,28.74
22.73,28.29
24.02,28.21
25.42,28.15
26.53,28.96
31.99,35.38
44.29,33.28
26.79,31.46
13.69,30.16
17.28,29.29
19.56,29.09
18.62,29.02
15.04,29.09
10.82,29.02
6.47,28.84
4.26,28.57
2.94,28.37
2.52,28.04
2.8,27.71
3.8,27.66
5.07,27.77
8.22,28.21
11.73,28.42
12.3,28.15
13.41,28.07
-68.39,27.77
-87.89,23.59
-66.95,15.31
-18.75,7.9
-1.99,7.55
-8.59,9.81
-19.21,10.7
-33.19,10.12
-32.18,8.52
-24.53,7.06
-17.01,7.2
-16.94,7.34
-16.9,7.63
-19.83,7.59
-20.11,7.21
-17.78,6.7
-18.04,7.07
-16.7,6.52
-18.01,6.88
-18.19,6.88
-18.01,6.72
-17.67,6.54
-16.23,6.41
-16.62,6.33
-14.63,6.27
-13.71,6.17
-13.08,6.23
-12.02,6.05
-12.03,6.09
-10.22,5.9
-9.74,6.3
-9.82,6.2
-10.52,6.48
-11.96,6.51
-12.16,6.37
-11.55,6.33
-11.72,6.27
-11.53,6.18
-11.84,6.22
-11.69,6.32
-11.46,6.41
-12.03,6.45
-12.41,6.58
-13.44,6.26
-11.5,5.87
-8.6,5.75
-8.55,5.97
-6.95,5.81
-4.87,5.45
-3.08,5.54
-2.75,6.56
-5.32,6.41
-7.75,7.39
-10.66,7.02
-11,6.56
-11.09,5.97
-10.56,6.52
-7.98,5.42
-5.32,5.57
-6.16,6.84
-6.19,5.97
-4.93,5.53
-1.99,5.43
-4.29,7.31
-9.94,7.62
-12.23,6.65
-11.43,5.83
-8.01,5.58
-3.97,4.92
0.41,4.96
1.73,5.26
1.55,6.24
-1.18,6.74
-3.14,6.5
-6.37,8.19
-9.63,7.04
-9.67,6.36
-9.77,7.07
-11.05,6.44
-9.43,5.75
-5.59,5.29
-2.59,5.37
-0.67,5.46
0.41,5.73
-1.15,6.52
-1.48,6.22
-2.97,6.09
-2.98,6.05
-3.85,6.32
-6.73,6.88
-9.21,6.51
-9.11,5.95
-6,5.39
-1.45,5.1
1.04,5.21
1.33,5.46
1.33,5.94
-5.46,8.38
-10.67,7.16
-11.66,6.4
-8.81,5.62
-5.72,5.39
-1.76,5.42
-0.04,5.67
-0.2,5.98
-0.27,6.1
-0.96,6.61
-2.03,6.36
-2.91,6.24
-5.4,6.53
-8.33,6.73
-7.27,5.78
-4.91,5.31
-1.35,5.29
0.37,5.57
-3.19,7.71
-7.6,6.84
-8.37,6.37
-7.32,5.76
-4.99,5.6
-2.26,5.53
-0.69,5.74
-0.36,5.99
-0.63,6.22
-1.31,6.32
-2.31,6.33
-3.04,6.23
-3.48,6.1
-2.8,5.89
-2.13,5.79
-1.25,5.85
-0.69,5.85
-0.22,5.96
-0.41,6.01
-0.26,5.94
-0.19,5.92
-0.06,5.91
0.15,5.84
0.47,5.67
1.19,5.42
1.78,5.32
BE,
BS, S:37928
2.01,5.3
7.57,5.4
29.46,6.6
52.09,9.92
72.65,17.86
83.9,22.56
39.25,25.99
24.38,27.31
20.8,26.6
26.38,26.14
23.54,26.58
19.5,25.43
19.68,24.51
29.43,25.17
41.96,26.93
51.26,34.58
56.57,32.11
17.4,35.12
41.85,35.43
20.53,33.4
12.84,29.54
11.87,28.71
15.6,26.39
21.9,26.67
35.33,26.67
47,28.19
40.08,30.1
26.59,29.95
20.97,29.91
25.57,29.17
27.55,31.21
32.82,34.48
41.54,33.76
33.56,31.09
13.18,29.55
18.26,29.41
18.7,28.8
19.41,28.92
14.51,28.85
10.99,28.76
10.05,28.57
7.6,28.56
5.41,28.63
2.38,28.73
-0.22,28.66
-2.64,28.56
-3.67,28.39
-3.27,28.44
-3.3,28.38
-3.61,28.37
-3.71,28.37
-68.77,28.38
-98.45,24.91
-73.95,16.03
-23.09,7.55
0.55,7.22
-3.37,8.89
-13.8,10.18
-26.4,9.93
-29.17,8.37
-21.84,7.26
-15.54,6.86
-15.78,7.64
-15.6,7.28
-16.09,7
-15.1,6.91
-12.72,5.98
-12.47,6.37
-14.19,7.37
-15.5,7.25
-18.18,7.04
-17.58,6.64
-15.76,6.4
-14.59,6.2
-12.64,5.98
-11.05,6
-9.9,5.97
-9.22,6.36
-10.87,6.47
-10.23,6.27
-9.41,6.06
-8.18,5.62
-7.69,6.27
-7.59,6.49
-6.03,5.69
-3.58,6.23
-5.97,6.54
-7.94,6.55
-9.85,6.92
-13.11,6.88
-13.13,6.48
-11.59,5.8
-8.77,5.46
-6.8,5.36
-2.94,5.24
-0.11,5.24
0.71,6.03
-2.5,7.3
-7.04,6.89
-10.14,6.57
-9.13,5.79
-6.31,5.38
-2.57,5.93
-3.31,6.19
-3.38,5.99
-3.46,6.38
-6.46,6.16
-6.67,6.26
-4.93,5.75
-2.79,5.63
-1.34,6.17
-5.68,7.25
-8.97,6.91
-9.51,6.01
-6.62,5.34
-2.05,4.96
0.89,5.21
1.68,5.7
0.46,6.12
-0.96,7.22
-6.72,7.37
-8.52,6.32
-7.39,5.71
-7.87,7.06
-8.91,6.33
-6.36,5.58
-4.4,5.59
-2.51,5.72
-0.91,5.54
0.57,5.56
0.53,5.89
0.35,6.06
-0.23,6.14
-0.96,6.96
-4.82,6.66
-6.17,6.54
-5.5,5.69
-2.8,5.41
0.2,5.25
1.5,5.38
1.67,5.55
1.66,5.71
1.42,5.81
1.27,5.83
1.09,5.91
1.05,5.9
1.25,5.59
1.93,5.39
BE,
BS, S:37929
2.07,5.33
7.8,5.44
29.22,6.69
49.53,9.86
65.13,17.88
76.45,24.09
30.11,25.66
19.06,27.27
16.03,26.93
16.26,26.98
11.85,26.49
7.95,24.89
8.39,23.88
17.73,24.82
33.79,26.06
46.54,29.43
27.87,37.32
38.02,30.89
1,29.64
8.49,29.71
5.42,27.94
8.48,26.38
11.69,26.05
25.69,26.79
38.02,29.07
30.57,32.96
19.08,32.88
4.35,30.86
1.37,30.32
-0.87,29.88
-2.3,29.55
-4.49,29.36
-3.67,29.14
-4.49,29.33
-3.81,29.24
-2.54,28.68
-1.95,28.64
-4.75,28.68
-3.27,28.46
-2.08,28.04
-1.53,28.39
-4.18,29.49
-6.97,29.05
-4.74,28.26
-3.13,29.14
-4.32,28.95
-4.81,28.6
-6.94,28.83
-5.48,28.34
-2.86,27.8
-2.07,27.87
-70,28.07
-98.29,24.98
-69.53,15.55
-8.56,6.79
2.51,6.17
-1.78,7.81
-5.57,9.69
-15.65,11.44
-13.98,10.52
-17.38,8.84
-17.16,7.65
-14.07,6.97
-11.82,6.37
-7.48,6.07
-4.78,5.94
-2.89,6.27
-3.3,6.47
-3.55,6.74
-5.62,6.91
-7.19,6.83
-8.17,6.61
-8.19,6.37
-7.3,6.17
-6.98,6.08
-6.27,6.14
-5.91,6.13
-5.25,6.11
-4.63,6.11
-4.36,6.18
-4.66,6.18
-4.89,6.25
-4.76,6.18
-4.77,6.18
-4.71,6.18
-4.63,6.1
-4.56,6.02
-4.49,5.93
-3.61,5.75
-2.02,5.55
-0.26,5.59
0.41,5.85
-1.42,7.04
-4.1,6.73
-6.4,7.57
-6.77,6.27
-7.19,6.27
-4.69,5.68
-2.57,5.63
-1.23,6.65
-3.07,6.63
-4.27,6.1
-3.91,5.87
-2.45,5.56
-0.45,5.58
0.68,5.71
0.81,6.16
-0.42,6.12
-1.28,6.68
-2.55,6.39
-2.37,5.97
-1,5.61
0.57,5.5
1.34,5.33
1.99,5.3
BE,
BS, S:37930
2.19,5.24
8.38,5.37
28.96,6.68
48.7,9.94
60.98,19.04
64.78,24.29
8.56,25.93
9.81,27.07
7.26,26.55
9.53,25.49
6.64,23.87
8.95,24.54
18.87,23.74
36.84,25.76
50.86,27.56
39.26,34.65
44.32,34.17
0.16,32.11
2.28,31.02
3.7,28.91
4.89,25.87
10.35,25.22
27.07,25.63
46.88,27.71
55.95,32.66
35.36,34.74
9.77,31.69
7.52,31.29
10.06,29.12
8.9,26.5
11.27,25.71
24.38,26.93
38.65,28.38
44.7,31.15
32.14,32
9.26,32.02
11.53,30.36
14.19,29.28
14.17,27.35
17.33,27.05
25.95,27.36
34.27,28.56
28.64,29.77
18.42,29.76
14.13,29.34
14.55,30.09
17.98,29.87
11.83,29.37
6.56,29.05
5.59,28.65
5.96,28.51
-70.31,28.32
-93.93,24.32
-66.52,15.24
-11.2,6.83
2.89,5.86
2.7,7.69
-6.42,9.92
-18.19,10.79
-26.19,9.22
-21.61,7.2
-13.03,6.35
-9.76,6.21
-8.48,7.23
-11.78,7.23
-12.71,7.28
-14.25,7.19
-14.83,7.12
-15.42,7.15
-16.25,6.99
-15.2,6.56
-14.54,6.51
-14.67,6.44
-11.97,5.79
-9.46,6.15
-9.41,6.66
-10.33,6.79
-11.25,5.99
-11.27,6.44
-11.14,6.35
-11.65,6.37
-11.31,6.33
-11.3,6.19
-10.9,6.09
-9.59,6.05
-9.86,6.06
-8.67,6.03
-8.36,6.02
-7.89,6.01
-7.27,6.07
-6.92,6.07
-6.57,6.08
-6.25,6.08
-6.93,6.07
-6,5.96
-4.92,5.94
-4.41,5.84
-3.33,5.9
-3.09,5.9
-2.51,5.98
-2.62,6.05
-2.82,6.07
-2.79,6.08
-2.93,6.14
-2.8,6
-2.76,5.89
-2.24,5.88
-2.12,5.97
-1.91,5.96
-1.65,5.95
-0.71,5.78
0.3,5.67
0.77,5.42
1.49,5.31
BE,
BS, S:37931
2.11,5.22
8.02,5.35
29.08,6.6
50.42,9.88
66.74,19.81
83.51,23.96
26.92,25.5
29.46,26.68
20.88,26.92
21.56,26.8
17.13,25.88
13.75,24.67
16.89,24.6
27.2,24.82
41.62,26.79
45.28,28.9
36.46,35.38
23.05,32.12
-2.57,30.47
7.04,28.92
11.71,26.94
15.01,26.02
28.92,25.98
45.95,28.39
55.33,32.92
32.03,32.92
11.07,31.98
13.94,30.72
16.49,28.93
18.95,27.55
20.14,27.38
26.06,27.2
32.25,28
32.01,29.02
26.14,29.66
23.16,31.66
21.99,29.99
13.01,29.5
10.98,29.21
9.01,28.89
7.12,28.92
4.51,28.89
1.43,28.81
-0.2,28.54
-0.82,28.41
-1.47,28.22
-1.48,28.12
-2.09,28.03
-1.86,27.95
-1.25,27.77
-0.06,27.71
-63.12,27.67
-90.87,24.22
-68.97,15.6
-20.84,7.86
1.74,6.31
2.39,7.61
-3.52,8.83
-17.47,10.32
-25.39,8.84
-24.49,7.61
-15.79,7.15
-13.04,7
-11.78,6.98
-13.14,7.38
-15.51,7.65
-18.65,7.35
-18.22,6.99
-17.13,6.7
-15.69,6.56
-14.64,6.45
-13.83,6.42
-14.03,6.43
-13.6,6.41
-12.84,6.33
-12.61,6.3
-12.33,6.29
-12.5,6.29
-11.34,6.26
-10.86,6.24
-11.59,6.19
-10.59,6.16
-10.21,6.16
-10.88,6.11
-9.98,6.14
-9.06,6.12
-8.85,6.19
-8.75,6.22
-8.44,6.27
-8.69,6.28
-8.44,6.19
-8.76,6.11
-7.75,6
-7.27,5.99
-7.37,6.08
-6.82,6.08
-6.21,6.07
-7.09,6.08
-6.52,6.06
-5.96,6.04
-6,6.04
-5.62,6.04
-5.04,6.02
-4.7,6.1
-4.82,6.1
-4.95,6.18
-4.96,6.19
-5.35,6.27
-5.92,6.23
-5.76,6.12
-5.66,6.08
-5.88,6.08
-5.57,6.04
-5.45,6.03
-5.06,6.02
-4.48,6.01
-4.29,6.01
-4.24,6.08
-4.35,6.09
-4.4,6.09
-4.28,6.09
-4.48,6.09
-4.4,6.01
-3.99,5.92
-3.18,5.82
-2.13,5.64
-0.63,5.68
0.32,5.51
1.27,5.33
1.97,5.14
BE,
BS, S:37932
2.21,5.14
8.22,5.24
30.28,6.53
51.99,10.07
68.61,20.33
78.8,24.24
29.26,25.21
35.1,26.47
25.53,26.7
21.91,26.77
17.26,25.91
14.28,24.7
17.78,24.31
29.91,25.21
43.74,26.89
45.99,29.96
40.57,37.09
24.06,31.91
1.45,29.17
15.71,28.14
16.43,26.63
22.09,26.35
33.44,27.11
42.04,29.38
37.57,32.57
23.5,30.85
17.65,29.36
17.06,28.73
23.17,28.04
24.77,27.77
25.35,27.85
26.61,28.08
26.64,28.43
27.23,28.61
26.47,29.28
26.54,32.27
30.53,29.9
17.2,28.51
20.66,28.47
21.6,28.07
22.77,28.21
21.3,28.4
19.03,28.6
16.67,28.69
14.35,28.63
13.29,28.51
12.39,28.72
14.04,29.86
12.42,28.74
8.3,28.42
8.37,28.42
-63.49,28.13
-91.12,24.15
-67.03,15.37
-18.43,7.63
1.42,6.47
0.86,8.1
-8.42,9.75
-18.74,10.25
-27.84,9.1
-27.37,8.07
-21.47,7.11
-12.65,7.1
-13.81,7.41
-15.7,7.48
